,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
385,erzin,36.96,36.2,46.99,100,75,3.36,TR,1584646458
386,bose,45.46,8.01,62.6,44,0,3.36,IT,1584646458
387,raudeberg,61.99,5.14,39.0,86,20,4.7,NO,1584646458
388,tatawin,32.93,10.45,59.0,72,33,9.17,TN,1584646459
389,bilibino,68.05,166.44,-14.53,97,100,3.11,RU,1584646459
390,serenje,-13.23,30.24,63.77,97,100,6.15,ZM,1584646459
391,basoko,1.24,23.62,77.81,70,86,0.87,CD,1584646459
392,tamesis,5.66,-75.71,86.0,53,75,4.7,CO,1584646459
393,sola,-13.88,167.55,78.8,88,20,13.42,VU,1584646459
394,tecolutla,20.48,-97.02,86.0,66,75,4.7,MX,1584646459
395,whitianga,-36.83,175.7,64.0,83,67,8.01,NZ,1584646459
396,broome,42.25,-75.83,53.01,81,90,6.93,US,1584646459
397,myaundzha,63.05,147.19,-26.95,99,0,1.14,RU,1584646460
398,worthing,50.81,-0.37,48.2,87,75,11.41,GB,1584646274
399,knysna,-34.04,23.05,60.8,100,56,3.36,ZA,1584646460
400,pacific grove,36.62,-121.92,57.99,58,40,6.93,US,1584646287
401,rafraf,37.19,10.18,59.0,71,40,14.99,TN,1584646460
402,intipuca,13.2,-88.05,87.71,52,0,15.03,SV,1584646460
403,maragogi,-9.01,-35.22,82.67,76,10,15.43,BR,1584646460
404,rocha,-34.48,-54.33,64.49,84,76,15.66,UY,1584646460
405,tucupita,9.06,-62.05,85.19,55,91,8.75,VE,1584646460
406,guhagar,17.48,73.19,79.43,72,0,10.49,IN,1584646460
407,mount gambier,-37.83,140.77,59.0,87,75,11.41,AU,1584646461
408,coihaique,-45.58,-72.07,64.4,55,75,5.82,CL,1584646461
409,katsuura,35.13,140.3,63.0,72,75,25.28,JP,1584646461
410,teguise,29.06,-13.56,68.0,68,40,13.87,ES,1584646461
411,ostrovnoy,68.05,39.51,15.35,94,100,14.56,RU,1584646461
412,hirara,24.8,125.28,67.91,79,100,14.34,JP,1584646461
413,tanabe,33.73,135.37,52.0,37,0,3.0,JP,1584646461
414,urla,38.32,26.76,53.6,42,40,6.93,TR,1584646461
415,mao,39.89,4.27,55.4,82,40,6.93,ES,1584646461
416,tutoia,-2.76,-42.27,86.0,79,40,11.41,BR,1584646461
417,hospet,15.27,76.4,83.03,33,75,7.65,IN,1584646462
418,tupik,54.43,119.93,13.73,95,100,3.91,RU,1584646462
419,pemberton,50.32,-122.8,44.6,39,40,2.24,CA,1584646462
420,tete,-16.16,33.59,82.4,54,0,10.29,MZ,1584646462
421,pimentel,-6.84,-79.93,66.2,29,0,25.28,PE,1584646462
422,snasa,64.25,12.38,32.0,93,20,2.24,NO,1584646462
423,quirinopolis,-18.45,-50.45,79.07,83,66,4.25,BR,1584646462
424,egvekinot,66.32,-179.17,15.53,97,100,11.52,RU,1584646462
425,omsukchan,62.53,155.8,-21.55,93,29,2.28,RU,1584646463
426,suntar,62.14,117.63,3.29,91,0,6.78,RU,1584646463
427,yatou,37.15,122.38,43.43,52,0,11.61,CN,1584646463
428,uong bi,21.03,106.78,68.0,94,75,4.7,VN,1584646463
429,te anau,-45.42,167.72,45.23,64,5,3.83,NZ,1584646463
430,lagoa,39.05,-27.98,56.57,64,98,15.21,PT,1584646463
431,warrington,53.39,-2.58,46.0,81,100,11.41,GB,1584646463
432,nizhniy ingash,56.2,96.53,23.27,89,100,8.5,RU,1584646463
433,kupang,-10.17,123.58,80.69,76,41,8.61,ID,1584646463
434,pasir mas,6.05,102.14,73.0,94,20,1.12,MY,1584646236
435,seoul,37.57,126.98,42.8,80,1,3.36,KR,1584646444
436,ati,13.22,18.34,84.65,11,93,13.65,TD,1584646464
437,nchelenge,-9.35,28.73,71.69,85,100,5.21,ZM,1584646464
438,daru,-9.08,143.21,77.09,93,97,7.0,PG,1584646464
439,ler,8.3,30.14,83.57,14,58,4.65,SS,1584646464
440,assiniboia,49.63,-105.98,15.89,68,0,9.51,CA,1584646266
441,bokoro,12.38,17.06,85.91,12,86,12.35,TD,1584646464
442,bar harbor,44.39,-68.2,41.0,64,90,11.41,US,1584646464
443,vestmanna,62.16,-7.17,35.6,64,74,8.05,FO,1584646465
444,linqing,36.85,115.71,54.59,36,0,20.45,CN,1584646465
445,santa isabel do rio negro,-0.41,-65.02,77.45,95,100,4.79,BR,1584646465
446,sibolga,1.74,98.78,71.33,96,100,3.69,ID,1584646465
447,ulaangom,49.98,92.07,13.73,73,0,1.59,MN,1584646465
448,aklavik,68.22,-135.01,32.0,86,90,2.24,CA,1584646323
449,cocal,-28.62,-49.35,70.43,92,17,2.35,BR,1584646465
450,changuinola,9.43,-82.52,86.0,76,0,1.01,PA,1584646465
451,comodoro rivadavia,-45.87,-67.5,69.8,49,75,11.41,AR,1584646465
452,kattivakkam,13.22,80.32,82.99,78,20,8.05,IN,1584646466
453,ovalle,-30.6,-71.2,77.45,30,0,8.43,CL,1584646466
454,sarramea,-21.64,165.85,64.4,77,0,2.24,NC,1584646466
455,varvasaina,37.68,21.5,50.0,76,20,7.34,GR,1584646466
456,wenling,28.37,121.36,54.0,74,3,4.5,CN,1584646466
457,kutum,14.2,24.67,62.69,13,100,5.73,SD,1584646466
458,bowen,-20.02,148.23,72.0,94,90,10.29,AU,1584646466
459,cerritos,33.86,-118.06,62.6,48,75,8.05,US,1584646228
460,chapais,49.78,-74.85,33.8,43,90,8.05,CA,1584646361
461,hongjiang,27.11,110.0,55.85,73,0,2.3,CN,1584646467
462,gweta,-20.18,25.23,72.41,67,7,6.26,BW,1584646467
463,cabedelo,-6.98,-34.83,86.0,62,44,11.41,BR,1584646467
464,puerto colombia,10.99,-74.95,87.8,55,0,16.11,CO,1584646467
465,grand island,40.92,-98.34,48.2,93,90,13.87,US,1584646443
466,buckeye,33.37,-112.58,63.0,47,40,6.93,US,1584646200
467,bandarbeyla,9.49,50.81,80.69,84,69,10.31,SO,1584646467
468,barmer,25.75,71.38,78.17,22,100,8.99,IN,1584646468
469,xining,36.62,101.77,30.11,36,3,2.39,CN,1584646468
470,boende,-0.22,20.87,72.59,99,100,1.01,CD,1584646468
471,tieling,42.29,123.84,32.27,61,69,6.08,CN,1584646468
472,vorontsovka,50.61,40.35,45.05,68,100,11.97,RU,1584646468
473,makakilo city,21.35,-158.09,75.2,73,75,4.7,US,1584646468
474,cayenne,4.93,-52.33,84.2,62,92,12.75,GF,1584646325
475,channel-port aux basques,47.57,-59.14,26.33,65,0,7.31,CA,1584646468
476,dicabisagan,17.08,122.42,73.49,85,27,4.25,PH,1584646469
477,pontal,-21.02,-48.04,89.6,43,75,5.82,BR,1584646469
478,iserlohn,51.37,7.7,57.0,81,98,5.82,DE,1584646469
479,lugovoy,42.95,72.76,45.41,83,72,3.49,KZ,1584646469
480,kifri,34.7,44.97,56.57,58,99,3.04,IQ,1584646469
481,gambela,8.25,34.58,83.39,46,8,2.53,ET,1584646469
482,inverell,-29.78,151.12,57.99,89,0,2.24,AU,1584646469
483,puerto el triunfo,13.28,-88.55,93.2,44,20,10.29,SV,1584646470
484,palencia,42.42,-4.5,55.99,48,33,1.01,ES,1584646470
485,mayo,38.89,-76.51,75.0,72,1,3.6,US,1584646172
486,pacasmayo,-7.4,-79.57,79.79,67,4,15.88,PE,1584646470
487,illapel,-31.63,-71.17,70.97,36,0,9.19,CL,1584646470
488,sembe,1.65,14.58,70.61,98,100,1.99,CG,1584646470
489,port augusta,-32.5,137.77,59.0,82,15,8.05,AU,1584646471
490,san patricio,19.22,-104.7,86.0,79,20,11.41,MX,1584646471
491,saint-joseph,-21.37,55.62,73.4,64,0,8.05,RE,1584646471
492,upata,8.01,-62.4,80.33,63,100,7.4,VE,1584646471
493,chernyshevskiy,63.01,112.47,5.99,93,98,10.98,RU,1584646471
494,vilyuysk,63.76,121.62,2.93,94,10,7.94,RU,1584646471
495,nabire,-3.37,135.48,70.97,95,83,1.63,ID,1584646471
496,passo de camaragibe,-9.24,-35.49,84.2,79,40,9.17,BR,1584646471
497,pesochnoye,58.01,39.18,34.25,80,90,6.35,RU,1584646471
498,harrai,22.62,79.22,70.25,45,51,4.76,IN,1584646472
499,sharkan,57.3,53.87,37.99,94,96,4.0,RU,1584646472
500,kroya,-7.63,109.25,74.93,90,79,2.06,ID,1584646472
501,viedma,-40.81,-63.0,66.29,60,0,14.94,AR,1584646472
502,la libertad,-2.23,-80.9,86.0,66,27,11.41,EC,1584646472
503,lima,-12.04,-77.03,80.6,69,40,13.87,PE,1584646345
504,nome,64.5,-165.41,33.8,86,90,20.8,US,1584646458
505,henties bay,-22.12,14.28,61.0,91,4,3.0,NA,1584646472
506,natal,-5.79,-35.21,86.0,66,20,9.17,BR,1584646360
507,fort nelson,58.81,-122.7,21.2,57,75,2.66,CA,1584646209
508,havoysund,71.0,24.66,21.2,73,75,17.22,NO,1584646473
509,yingkou,40.66,122.23,39.29,55,87,15.48,CN,1584646473
510,hami,42.8,93.45,47.21,42,47,3.76,CN,1584646473
511,mashhad,36.3,59.61,55.4,87,20,1.83,IR,1584646298
512,blackwater,-23.58,148.88,67.01,77,0,7.65,AU,1584646473
513,ponta do sol,32.67,-17.1,62.6,63,40,12.75,PT,1584646473
514,jega,12.22,4.38,83.75,8,100,4.03,NG,1584646473
515,manaure,11.78,-72.44,93.2,36,20,16.11,CO,1584646474
516,atambua,-9.11,124.89,72.59,86,100,3.18,ID,1584646474
517,porto recanati,43.44,13.66,55.0,87,0,3.36,IT,1584646474
518,port-cartier,50.03,-66.87,28.0,58,75,8.05,CA,1584646474
519,bamiantong,44.93,130.53,24.17,83,0,13.13,CN,1584646474
520,khasan,42.43,130.64,32.27,63,0,24.0,RU,1584646474
521,wasco,35.59,-119.34,55.99,71,90,7.07,US,1584646474
522,limon,10.0,-83.03,86.0,66,0,6.93,CR,1584646474
523,camoapa,12.38,-85.51,86.0,51,40,13.87,NI,1584646475
524,andahuaylas,-13.66,-73.39,60.89,75,75,6.73,PE,1584646475
525,olafsvik,64.89,-23.71,34.97,76,100,17.31,IS,1584646475
526,grindavik,63.84,-22.43,32.0,74,75,20.8,IS,1584646475
527,srostki,52.42,85.7,22.91,90,93,7.05,RU,1584646475
528,fort collins,40.59,-105.08,36.0,89,90,23.04,US,1584646379
529,rock sound,24.9,-76.2,73.85,78,0,19.86,BS,1584646475
530,bethanien,-26.5,17.16,77.45,20,3,6.31,NA,1584646476
531,yasnogorsk,54.48,37.7,38.57,78,100,10.63,RU,1584646476
532,jalu,29.03,21.55,64.13,30,0,10.22,LY,1584646476
533,alberton,46.82,-64.07,29.57,88,21,12.33,CA,1584646476
534,saint-pierre,-21.34,55.48,73.4,64,0,8.05,RE,1584646476
535,kulhudhuffushi,6.62,73.07,83.75,74,100,5.91,MV,1584646235
536,burnie,-41.07,145.92,55.99,81,35,21.94,AU,1584646476
537,mongu,-15.25,23.13,66.29,96,100,3.42,ZM,1584646476
538,sitka,57.05,-135.33,41.0,80,1,3.36,US,1584646477
539,waipawa,-41.41,175.52,61.0,72,0,14.99,NZ,1584646477
540,upington,-28.45,21.26,80.6,44,28,12.75,ZA,1584646477
541,roald,62.58,6.13,36.0,79,75,1.12,NO,1584646477
542,krasnoselkup,65.7,82.47,-1.75,86,97,8.32,RU,1584646477
543,kanchanaburi,14.63,99.1,72.05,76,59,3.71,TH,1584646477
544,samfya,-11.36,29.56,65.21,97,100,0.76,ZM,1584646477
545,catuday,16.29,119.81,79.79,82,86,14.03,PH,1584646478
546,beyneu,45.32,55.2,49.01,62,100,10.13,KZ,1584646478
547,pathein,16.78,94.73,76.73,80,0,10.36,MM,1584646478
548,aykino,62.22,49.99,26.15,96,98,5.7,RU,1584646478
549,tazovskiy,67.47,78.7,-17.59,96,0,4.76,RU,1584646478
550,mogadishu,2.04,45.34,82.85,81,64,13.33,SO,1584646456
551,lincoln,40.8,-96.67,71.01,93,90,6.93,US,1584646408
552,kaohsiung,22.62,120.31,73.4,78,40,6.93,TW,1584646267
553,caravelas,-17.71,-39.25,81.95,79,0,12.97,BR,1584646479
554,sidmouth,50.69,-3.24,46.0,87,75,12.75,GB,1584646479
555,inuvik,68.35,-133.72,32.0,84,90,3.36,CA,1584646479
556,prince rupert,54.32,-130.32,48.2,62,1,4.7,CA,1584646479
557,kijang,35.24,129.21,41.0,44,0,4.7,KR,1584646479
558,dubbo,-32.25,148.62,57.2,87,0,5.82,AU,1584646479
559,pontian kecil,1.48,103.39,82.4,88,20,3.94,MY,1584646479
560,raduzhnyy,62.1,77.47,25.61,97,99,4.97,RU,1584646480
561,tromso,69.65,18.96,23.0,85,75,13.87,NO,1584646356
562,soyo,-6.13,12.37,82.4,83,75,6.93,AO,1584646480
563,kudat,6.88,116.85,80.6,88,75,4.7,MY,1584646480
564,biu,10.61,12.19,85.19,8,15,10.69,NG,1584646480
565,abha,18.22,42.51,60.8,82,20,10.29,SA,1584646480
566,merritt,50.11,-120.79,46.4,36,1,6.93,CA,1584646204
567,joshimath,30.57,79.57,32.09,56,41,8.9,IN,1584646480
568,kasangulu,-4.59,15.17,80.6,88,90,9.17,CD,1584646481
569,svetlyy,54.67,20.13,35.6,93,76,6.71,RU,1584646481
570,sarai naurang,32.83,70.78,65.39,62,95,3.24,PK,1584646481
571,uige,-7.61,15.06,70.25,92,100,0.89,AO,1584646481
572,teknaf,20.86,92.31,64.13,58,100,3.31,BD,1584646481
573,miguel auza,24.29,-103.45,80.51,19,100,20.76,MX,1584646481
